x1,y1
21,7.2647
20.763,7
20,6.0382
19.949,6
19,5.4161
18.313,5
18,4.8617
17,4.4921
16,4.1824
15.024,4
15,3.9972
14,3.9914
13.904,4
13,4.1477
12,4.5051
11,4.9933
10.99,5
10.048,6
10,6.0876
9.6098,7
9.4619,8
10,9
11,9
12,9
13,9
14,9
14,9
14.856,10
14.859,11
14.854,12
14,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7.7411,14
7.7813,15
8,15.955
8.0161,16
8.6343,17
9,17.472
9.4911,18
10,18.395
10.794,19
11,19.082
12,19.418
13,19.787
13.626,20
14,20.058
15,20.146
16,20.181
17,20.164
18,20.102
18.926,20
19,19.98
20,19.581
21,19.24
