x1,y1
21,4.4215
20.458,4
20,3.6147
19.006,3
19,2.9974
18,2.6131
17,2.2356
16.217,2
16,1.9693
15,1.894
14,1.8821
13,1.9363
12.459,2
12,2.1368
11,2.5718
10.133,3
10,3.097
9,3.9366
8.9348,4
8.1724,5
8,5.3199
7.7068,6
7.4283,7
7.3388,8
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.833,10
16.827,11
16.814,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6,13
5.4265,14
5.4463,15
5.6588,16
5.9434,17
6,17.139
6.5428,18
7,18.704
7.2456,19
8,19.698
8.3325,20
9,20.275
10,20.654
10.931,21
