x1,y1
21,1.5993
20,1.4574
19,1.3386
18,1.3072
17,1.3401
16,1.4321
15,1.5673
14,1.7588
13.066,2
13,2.0346
12,2.5606
11,2.9764
10.953,3
10,3.7928
9.7549,4
9,4.8392
8.8775,5
8.3491,6
8,6.8867
7.9704,7
7.9204,8
8,8.3376
9,9
10,9
11,9
12,9
13,9
14,9
14,9
14.805,10
14.809,11
14.813,12
14,13
14,13
13,13
12,13
11,13.948
10.998,14
11,14.007
11.407,15
12,15.562
12.719,16
13,16.086
14,16.222
15,16.176
15.965,16
16,15.991
17,15.556
18,15.05
18.077,15
19,14.279
19.292,14
20,13.287
20.161,13
20.647,12
21,11.299
