x1,y1
21,3.2952
20.595,3
20,2.5746
19.037,2
19,1.9881
18,1.752
17,1.5491
16,1.3955
15,1.3102
14,1.3068
13,1.3891
12,1.5498
11,1.7709
10.115,2
10,2.0751
9,2.8216
8.7708,3
8,3.8116
7.8465,4
7.2148,5
7,5.4685
6.8119,6
6.5912,7
6.5294,8
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.872,10
16.872,11
16.872,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6,13
5.7282,14
5.7559,15
5.9203,16
6,16.293
6.2987,17
6.8415,18
7,18.242
7.6219,19
8,19.356
8.6995,20
9,20.126
10,20.479
11,20.827
11.522,21
