x1,y1
11.043,1
11,1.0147
10,1.3949
9,1.772
8.4813,2
8,2.4317
7.3659,3
7,3.4332
6.6257,4
6,4.9731
5.9887,5
5.7142,6
5.5071,7
5.493,8
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.732,10
16.752,11
16.766,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7.9428,14
8,14.648
8.0452,15
8.4115,16
8.9571,17
9,17.053
9.9133,18
10,18.065
11,18.686
11.61,19
12,19.124
13,19.346
14,19.447
15,19.418
16,19.278
17,19.06
17.202,19
18,18.656
19,18.183
19.339,18
20,17.571
20.597,17
21,16.64
