x1,y1
21,9.1456
20.901,9
20.277,8
20,7.5709
19.353,7
19,6.7225
18,6.0302
17.945,6
17,5.5843
16,5.2179
15.132,5
15,4.9778
14,4.9365
13.374,5
13,5.0731
12,5.5263
11.264,6
11,6.3072
10.546,7
10.287,8
11,9
12,9
13,9
14,9
14,9
14.955,10
14.955,11
14.955,12
14,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7.3205,14
7.3701,15
7.6602,16
8,16.843
8.0895,17
8.8652,18
9,18.136
9.9382,19
10,19.035
11,19.519
11.778,20
12,20.075
13,20.327
14,20.534
15,20.694
16,20.801
17,20.857
18,20.845
19,20.76
20,20.599
21,20.455
