x1,y1
11.05,1
11,1.0166
10,1.3901
9,1.763
8.4342,2
8,2.3949
7.3411,3
7,3.4115
6.6164,4
6,4.9725
5.9888,5
5.7245,6
5.5266,7
5.5088,8
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.804,10
16.812,11
16.821,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7.2326,14
7.3238,15
7.6069,16
8,16.924
8.04,17
8.8113,18
9,18.187
9.9318,19
10,19.041
11,19.56
11.95,20
12,20.01
13,20.137
14,20.201
15,20.193
16,20.117
16.86,20
17,19.958
18,19.549
19,19.136
19.294,19
20,18.565
20.67,18
21,17.733
