x1,y1
21,3.8468
20,3.358
19.292,3
19,2.932
18,2.775
17,2.6697
16,2.6335
15,2.6702
14,2.7717
13,2.9198
12.599,3
12,3.2866
11,3.7932
10.622,4
10,4.5336
9.5128,5
9,5.6914
8.8341,6
8.4982,7
8.4312,8
9,9
10,9
11,9
12,9
13,9
14,9
14,9
14.667,10
14.67,11
14.676,12
14,13
14,13
13,13
12,13
11,13
10,13
9,13.947
8.9901,14
9,14.154
9.0993,15
9.5967,16
10,16.562
10.397,17
11,17.391
12,17.996
12.009,18
13,18.212
14,18.337
15,18.348
16,18.251
17,18.077
17.3,18
18,17.705
19,17.265
19.558,17
20,16.692
20.725,16
21,15.735
