x1,y1
21,2.8652
20,2.2806
19.514,2
19,1.8535
18,1.6455
17,1.4746
16,1.3523
15,1.2923
14,1.3075
13,1.3981
12,1.5553
11,1.7628
10.041,2
10,2.0265
9,2.765
8.654,3
8,3.6748
7.7366,4
7.0399,5
7,5.0836
6.7023,6
6.4697,7
6.4433,8
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.536,10
16.526,11
16.531,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6.9136,14
6.9511,15
7,15.247
7.2221,16
7.6938,17
8,17.505
8.3748,18
9,18.637
9.4004,19
10,19.345
11,19.953
11.094,20
12,20.166
13,20.299
14,20.37
15,20.372
16,20.306
17,20.185
18,20.015
18.06,20
19,19.534
20,19.096
20.155,19
21,18.335
