x1,y1
21,4.8678
20.015,4
20,3.987
19,3.4665
18.1,3
18,2.9647
17,2.6753
16,2.4293
15,2.2789
14,2.2593
13,2.3785
12,2.63
11,2.9693
10.927,3
10,3.6377
9.5329,4
9,4.5794
8.6707,5
8.1002,6
8,6.2996
7.8248,7
7.7511,8
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.573,10
16.557,11
16.537,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6,13.476
5.9232,14
5.9356,15
6,15.416
6.1593,16
6.6088,17
7,17.803
7.1346,18
7.9526,19
8,19.04
9,19.795
9.2657,20
10,20.245
11,20.527
12,20.778
13,20.988
13.095,21
