x1,y1
21,5.4165
20.506,5
20,4.6437
19,4.0805
18.838,4
18,3.7482
17,3.4824
16,3.2801
15,3.1941
14,3.2544
13,3.4485
12,3.7379
11.251,4
11,4.1601
10,4.9003
9.888,5
9.1381,6
9,6.2902
8.7868,7
8.7233,8
9,9
10,9
11,9
12,9
13,9
14,9
14,9
14.684,10
14.676,11
14.668,12
14,13
14,13
13,13
12,13
11,13
10,13
9,13
8.4929,14
8.5619,15
8.8872,16
9,16.208
9.6038,17
10,17.369
10.76,18
11,18.125
12,18.546
13,18.941
13.209,19
14,19.083
15,19.14
16,19.139
17,19.08
17.694,19
18,18.912
19,18.535
20,18.141
20.263,18
21,17.508
