x1,y1
21,5.1261
20.856,5
20,4.2064
19.677,4
19,3.6537
18,3.1607
17.612,3
17,2.8387
16,2.6258
15,2.4932
14,2.4802
13,2.5908
12,2.8146
11.388,3
11,3.2029
10,3.847
9.7965,4
9,4.8408
8.8727,5
8.3227,6
8,6.9089
7.9769,7
7.9069,8
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
15,9
15.915,10
15.915,11
15.915,12
15,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6.2258,14
6.2494,15
6.5156,16
6.8821,17
7,17.234
7.5473,18
8,18.563
8.4228,19
9,19.39
9.8161,20
10,20.07
11,20.328
12,20.549
13,20.728
14,20.851
15,20.906
16,20.885
17,20.791
18,20.636
19,20.438
20,20.194
20.596,20
21,19.755
