x1,y1
21,6.58
20.422,6
20,5.5347
19.25,5
19,4.8567
18,4.3622
17.206,4
17,3.9297
16,3.6874
15,3.536
14,3.5129
13,3.6309
12,3.8882
11.705,4
11,4.4317
10.228,5
10,5.2681
9.4816,6
9.0269,7
9,7.1761
8.9095,8
9,9
10,9
11,9
12,9
13,9
14,9
15,9
15,9
15.797,10
15.795,11
15.786,12
15,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6.7628,14
6.785,15
6.9725,16
7,16.08
7.488,17
8,17.854
8.1127,18
9,18.911
9.0961,19
10,19.497
10.777,20
11,20.072
12,20.294
13,20.474
14,20.612
15,20.7
16,20.723
17,20.681
18,20.582
19,20.437
20,20.231
20.95,20
21,19.975
