x1,y1
21,20.154
20,20.275
19,20.43
18,20.568
17,20.663
16,20.705
15,20.684
14,20.596
13,20.436
12,20.209
11.263,20
11,19.833
10,19.082
9.9107,19
9,18.047
8.962,18
8.3312,17
8,16.353
7.8494,16
7.5825,15
7.5187,14
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
16,13
16.857,12
16.857,11
16.857,10
16,9
16,9
15,9
14,9
13,9
12,9
11,9
10,9
9.545,8
9.7512,7
10,6.549
10.486,6
11,5.5956
11.912,5
12,4.9619
13,4.7094
14,4.5983
15,4.6435
16,4.7861
16.829,5
17,5.057
18,5.5027
18.975,6
19,6.016
20,6.7135
20.307,7
21,7.704
