x1,y1
19.195,1
19.597,2
19.93,3
20,3.2579
20.18,4
20.453,5
20.734,6
20.922,7
20.962,8
20.885,9
20.626,10
20.185,11
20,11.314
19.66,12
19,12.981
18.987,13
18.019,14
18,14.018
17,14.843
16.521,15
16,15.285
15,15.337
14,15.015
13.97,15
13,14.541
12,14.324
11,14.182
10,14.059
9.5999,14
10,13.969
11,13.859
12,13.693
13,13.49
14,13
15,13
16,13.136
16.092,13
16.928,12
16.928,11
16.929,10
16,9
16,9
15,9
14,9
13,9
12,9
11,9
10,9
9,9
8,9
7,9
6,9
5,9
5,9
4.6292,10
4.6754,11
4.6513,12
4.9685,13
4.9902,14
4.6508,15
4,15.519
3.3425,16
3,16.267
2,16.75
1,16.906
