x1,y1
19.138,1
19.538,2
19.867,3
20,3.4859
20.126,4
20.37,5
20.621,6
20.794,7
20.835,8
20.733,9
20.47,10
20.073,11
20,11.14
19.578,12
19,12.86
18.881,13
18,13.923
17.943,14
17,14.916
16.876,15
16,15.572
15,15.584
14,15.279
13,15.338
12.267,15
12,14.641
11,14.214
10,14.027
9.8746,14
10,13.986
11,13.855
12,13.59
13,13.232
14,13.081
15,13
16,13
16,13
16.951,12
16.958,11
16.954,10
16,9
16,9
15,9
14,9
13,9
12,9
11,9
10,9
9,9
8,9
7,9
6,9
5,9
5,9
4.627,10
4.6727,11
4.65,12
4.9675,13
4.9869,14
4.6461,15
4,15.557
3.3976,16
3,16.313
2,16.78
1,16.924
