x1,y1
21,19.043
20,19.225
19,19.484
18,19.757
17,19.958
16.522,20
16,20.014
15,20.001
14.974,20
14,19.797
13,19.462
12,19.043
11.919,19
11,18.401
10.495,18
10,17.512
9.5825,17
9,16.089
8.9535,16
8.6326,15
8.5355,14
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
16,13
16.248,12
16.273,11
16.301,10
16,9
16,9
15,9
14,9
13,9
12,9
11,9
10,8.8634
9.8343,8
10,7.2741
10.114,7
10.924,6
11,5.9336
12,5.4116
13,5.0165
13.098,5
14,4.916
15,4.9482
15.306,5
16,5.1434
17,5.4648
18,5.8653
18.256,6
19,6.446
19.871,7
20,7.0963
20.863,8
21,8.1378
