x1,y1
21,19.216
20,19.473
19,19.83
18.391,20
18,20.042
17,20.106
16,20.135
15,20.113
14,20.033
13.755,20
13,19.712
12,19.228
11.613,19
11,18.581
10.302,18
10,17.697
9.4617,17
9,16.281
8.8522,16
8.5178,15
8.4052,14
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
16,13
16.515,12
16.517,11
16.55,10
16,9
16,9
15,9
14,9
13,9
12,9
11,9
10,8.7767
9.8511,8
10,7.364
10.152,7
10.964,6
11,5.9697
12,5.4904
13,5.0937
13.44,5
14,4.9389
15,4.9928
15.043,5
16,5.2023
17,5.5133
18,5.8776
18.251,6
19,6.4387
19.996,7
20,7.0028
21,7.9492
