x1,y1
18.624,1
19,1.7185
19.158,2
19.622,3
19.957,4
20,4.2045
20.14,5
20.308,6
20.444,7
20.494,8
20.438,9
20.254,10
20,10.769
19.907,11
19.399,12
19,12.584
18.661,13
18,13.705
17.753,14
17.207,15
17.178,16
17.147,17
17,17.154
16,17.996
15.947,17
15.874,16
15,15.226
14,15.055
13,15.338
12.123,16
12.061,17
12.124,18
12,18.601
11,18.116
10.817,18
10.271,17
10.509,16
11,15.012
11.003,15
11,14.982
10,14.884
9.5493,15
9,15.11
8,15.223
7,15.155
6.7337,15
6,14.241
5.9214,14
6,13.934
7,13.728
8,13.772
9,13.799
10,13.819
11,13.818
12,13.048
13,13
14,13
15,13
15,13
15.966,12
15.973,11
15.972,10
15.073,9
15,8.8957
14,9
13,9
12,9
11,9
10,9
9,9
8,9
7,9
6,9
5,9
4,9
4,9
3.6597,10
3.562,11
3.378,12
3.6901,13
3.5879,14
3,14.727
2.6391,15
2,15.667
1,15.965
