x1,y1
21,13.63
20.664,14
20,14.709
19.62,15
19,15.412
18.031,16
18,16.017
17,16.411
16,16.701
15,16.899
14.22,17
14,17.02
13.805,17
13,16.848
12,16.477
11,16.02
10.976,16
10.186,15
10,14.565
9.8573,14
10,13.237
11,13
12,13
13,13
14,13
15,13
16,13
16,13
16.532,12
16.515,11
16.515,10
16,9
16,9
15,9
14,9
13,9
12,9
11,9
10,9
9,9
8,9
7.5641,8
7.6172,7
7.8685,6
8,5.6681
8.3267,5
8.9244,4
9,3.8983
9.8195,3
10,2.8291
11,2.0419
11.064,2
12,1.7005
13,1.431
14,1.228
15,1.0957
16,1.029
17,1.0298
18,1.1021
19,1.2321
20,1.3888
21,1.5299
