x1,y1
21,11.492
20.69,12
20.137,13
20,13.219
19.138,14
19,14.117
18,14.829
17.715,15
17,15.353
16,15.723
15,15.962
14.052,16
14,16.002
13.986,16
13,15.821
12,15.364
11.586,15
11,14.113
10.954,14
11,13.64
12,13
13,13
14,13
15,13
15,13
15.291,12
15.26,11
15.234,10
15,9
15,9
14,9
13,9
12,9
11,9
10,9
9,9
8.0754,8
8.1475,7
8.4616,6
8.9356,5
9,4.9049
9.7027,4
10,3.7275
10.869,3
11,2.9318
12,2.4765
13,2.0393
13.105,2
14,1.9036
15,1.8222
16,1.7749
17,1.7654
18,1.7978
19,1.8703
20,1.9898
20.065,2
21,2.2728
