x1,y1
18.651,1
19,1.649
19.202,2
19.672,3
20,3.9313
20.019,4
20.191,5
20.38,6
20.538,7
20.612,8
20.569,9
20.397,10
20.099,11
20,11.269
19.646,12
19.053,13
19,13.076
18.241,14
18,14.269
17.089,15
17,15.067
16.022,16
16,16.025
15.444,17
15,17.154
14,17.033
13,17.281
12,17.269
11.648,17
11.589,16
12,15.29
13,15.282
14,15.044
14.16,15
14,14.77
13.686,14
14,13.614
15,13.538
15.323,13
15.969,12
15.973,11
15.97,10
15,9
15,9
14,9
13,9
12,9
11,9
10,9
9,9
8,9
7,9
6,9
5,9
4,9
4,9
3.6597,10
3.5596,11
3.3747,12
3.69,13
3.602,14
3,14.73
2.6551,15
2,15.679
1,15.99
