x1,y1
16.994,1
17,1.0166
17.35,2
17.628,3
18,3.9252
18.05,4
18.769,5
19,5.3932
19.291,6
19.647,7
19.814,8
19.769,9
19.528,10
19.112,11
19,11.192
18.717,12
18,12.932
17.945,13
17.098,14
17,14.089
16,14.748
15.333,15
15,15.169
14,15.281
13,15.223
12.26,15
12,14.906
11,14.659
10,14.807
9,14.956
8.5822,15
8,15.072
7,15.222
6,15.045
5.9606,15
5.4875,14
6,13.624
7,13.683
8,13.698
9,13.659
10,13.664
11,13.676
12,13.558
13,13.26
14,13
15,13
16,13.52
16.457,13
16.948,12
16.938,11
16.932,10
16,9
16,9
15,9
14,9
13,9
12,9
11,9
10,9
9,9
8,9
7,9
6,9
5,9
5,9
4.6434,10
4.6838,11
4.6507,12
4.9525,13
4.945,14
4,14.996
3.9964,15
3,15.93
2.8237,16
2,16.699
1,16.929
