x1,y1
21,17.961
20.923,18
20,18.404
19,18.838
18.524,19
18,19.079
17,19.191
16,19.247
15,19.198
14,19.027
13.905,19
13,18.638
12,18.159
11.733,18
11,17.444
10.503,17
10,16.42
9.7151,16
9.2192,15
9,14.092
8.9864,14
9,13.934
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
17,12
17,11
17,10
17,9
16,9
15,9
14,9
13,9
12,9
11,9
10,9
9,8.6293
8.8652,8
9,7.2601
9.086,7
9.7538,6
10,5.7247
10.837,5
11,4.8911
12,4.4429
13,4.0904
13.539,4
14,3.9585
15,3.9394
15.569,4
16,4.066
17,4.325
18,4.631
19,4.9868
19.029,5
20,5.513
20.804,6
21,6.1304
