x1,y1
22.54,31
23,30.3
23.214,30
23.818,29
24,28.669
24.332,28
24.795,27
25,26.506
25.182,26
25.485,25
25.748,24
25.958,23
26,22.701
26.083,22
26.132,21
26.097,20
26,19.27
25.955,19
25.661,18
25.244,17
25,16.533
24.637,16
24,15.187
23.797,15
23,14.351
22.392,14
22,13.805
21,13.498
20,13.371
19.958,14
19.923,15
19.911,16
19.911,17
19.911,18
19,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
11,19
10,19
9,19
8,19
7,19
6,19
5,19
4,19
3,19
2.5581,20
2.4651,21
2.4711,22
2.5351,23
2.6417,24
2.786,25
2.9674,26
3,26.147
3.2002,27
3.4723,28
3.7849,29
4,29.59
4.1664,30
4.5175,31
