x1,y1
13.55,1
13,1.4019
12.006,2
12,2.0053
11,2.9515
10.947,3
10.083,4
10,4.1044
9.3634,5
9,5.5499
8.7437,6
8.2359,7
8,7.5233
7.8297,8
7.5428,9
7.3204,10
7.1961,11
7.2258,12
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
23,13
23.086,14
23.09,15
23.092,16
23.093,17
23.093,18
23,19
23,19
22,19
21,19
20,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12.874,20
12.962,21
13,21.167
13.255,22
13.741,23
14,23.405
14.454,24
15,24.531
15.531,25
16,25.286
17,25.828
17.396,26
18,26.173
19,26.372
20,26.472
21,26.47
22,26.375
23,26.203
23.86,26
24,25.958
25,25.578
26,25.164
26.339,25
27,24.619
28,24.021
28.029,24
29,23.213
29.249,23
30,22.299
30.25,22
31,21.042
