x1,y1
31,18.111
30.965,18
30.643,17
30.291,16
30,15.247
29.855,15
29.231,14
29,13.653
28.496,13
28,12.401
27.607,12
27,11.428
26.464,11
26,10.669
25,10.034
24.935,10
24,9.5876
23,9.2152
22.238,9
22,8.9465
21,8.8297
20,8.8359
19,8.9722
18.9,9
18,9.4177
17.127,10
17,10.155
16.408,11
16.049,12
17,13
18,13
19,13
20,13
20,13
20.399,14
20.391,15
20.387,16
20.386,17
20.384,18
20,19
20,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
11.244,20
11.259,21
11.467,22
11.79,23
12,23.478
12.277,24
12.901,25
13,25.127
13.742,26
14,26.256
14.772,27
15,27.181
16,27.978
16.028,28
17,28.602
17.584,29
18,29.196
19,29.62
19.819,30
20,30.071
21,30.389
22,30.665
23,30.912
23.344,31
