x1,y1
31,3.9457
30,3.6732
29,3.555
28,3.5273
27,3.5631
26,3.6604
25,3.8173
24.132,4
24,4.0366
23,4.3555
22,4.6832
21.122,5
21,5.0618
20,5.5882
19.221,6
19,6.1506
18,6.8409
17.782,7
17,7.6891
16.659,8
16,8.7417
15.788,9
15.173,10
15,10.419
14.803,11
14.705,12
15,13
16,13
17,13
18,13
19,13
19,13
19,14
19,15
19,16
19,17
19,18
19,19
19,19
18,19
17.58,20
18,20.842
18.105,21
19,21.558
20,21.855
21,21.854
22,21.678
23,21.382
23.975,21
24,20.989
25,20.422
25.628,20
26,19.73
26.855,19
27,18.869
27.785,18
28,17.755
28.562,17
29,16.408
29.247,16
29.847,15
30,14.741
30.286,14
30.625,13
30.952,12
31,11.86
