x1,y1
20.823,31
21,30.763
21.623,30
22,29.454
22.286,29
22.866,28
23,27.741
23.344,27
23.772,26
24,25.393
24.128,25
24.386,24
24.593,23
24.739,22
24.803,21
24.757,20
24.573,19
24.243,18
24,17.463
23.716,17
23,16.047
22.947,16
22,15.276
21.417,15
21,14.835
20,14.677
19,15
19,16
19,17
19,18
19,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
11,19
10,19
9,19
8,19
7,19
6,19
5,19
4,19.415
3.8117,20
3.7212,21
3.7253,22
3.7846,23
3.8878,24
4,24.77
4.04,25
4.2536,26
4.5021,27
4.7906,28
5,28.632
5.1355,29
5.5435,30
5.9387,31
