x1,y1
20.891,31
21,30.826
21.58,30
22,29.297
22.163,29
22.634,28
23,27.171
23.067,27
23.395,26
23.678,25
23.918,24
24,23.552
24.083,23
24.176,22
24.204,21
24.146,20
24,19.112
23.974,19
23.573,18
23.011,17
23,16.986
22,16.045
21.922,16
21,15.566
20,15.35
19,16
19,17
19,18
19,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
11,19
10,19
9,19
8,19
7,19.088
6.6631,20
6.5616,21
6.5681,22
6.6374,23
6.7562,24
6.9236,25
7,25.35
7.1622,26
7.4519,27
7.7862,28
8,28.557
8.1868,29
8.6537,30
9,30.714
9.1254,31
