x1,y1
19.451,1
19,1.0426
18,1.1959
17,1.4033
16,1.6449
15,1.9019
14.66,2
14,2.3975
13,2.99
12.984,3
12,3.828
11.809,4
11,4.8411
10.862,5
10.122,6
10,6.1959
9.5838,7
9.1007,8
9,8.2717
8.7946,9
8.5782,10
8.4598,11
8.4714,12
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
22,13
22.785,14
22.785,15
22.785,16
22.785,17
22.785,18
22,19
22,19
21,19
20,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
11,19
10,19
9,19
8.856,20
8.8631,21
8.9686,22
9,22.158
9.2231,23
9.5934,24
10,24.96
10.02,25
10.662,26
11,26.477
11.425,27
12,27.591
12.43,28
13,28.447
13.748,29
14,29.144
15,29.687
15.627,30
16,30.09
17,30.299
18,30.48
19,30.615
20,30.694
21,30.71
22,30.666
23,30.566
24,30.42
25,30.236
26,30.02
26.076,30
27,29.619
28,29.194
28.42,29
29,28.694
30,28.138
30.204,28
31,27.491
