x1,y1
31,4.5802
30,4.4477
29,4.3248
28,4.2781
27,4.3074
26,4.4013
25,4.5536
24,4.7579
23.031,5
23,5.0115
22,5.4241
21,5.8261
20.613,6
20,6.3577
19,6.9288
18.886,7
18,7.6912
17.605,8
17,8.5991
16.613,9
16,9.831
15.889,10
15.48,11
15.34,12
16,13
17,13
18,13
19,13
19,13
19,14
19,15
19,16
19,17
19,18
19,19
19,19
18,19
17.094,20
17.557,21
18,21.455
18.779,22
19,22.085
20,22.273
21,22.28
22,22.144
22.591,22
23,21.88
24,21.479
25,21.007
25.012,21
26,20.355
26.474,20
27,19.584
27.618,19
28,18.629
28.559,18
29,17.493
29.364,17
30,16.154
30.083,16
30.552,15
31,14.064
