x1,y1
18.582,1
18,1.3308
17,1.9108
16.865,2
16,2.5431
15.377,3
15,3.3155
14.228,4
14,4.2235
13.258,5
13,5.301
12.446,6
12,6.6323
11.761,7
11.221,8
11,8.4937
10.796,9
10.509,10
10.336,11
10.313,12
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
20,13
20.713,14
20.718,15
20.721,16
20.724,17
20.73,18
20,19
20,19
19,19
18,19
17,19
16.259,20
16.577,21
17,21.59
17.365,22
18,22.393
19,22.841
19.776,23
20,23.027
21,23.021
21.174,23
22,22.865
23,22.586
24,22.233
24.529,22
25,21.746
26,21.134
26.186,21
27,20.331
27.347,20
28,19.31
28.248,19
28.97,18
29,17.953
29.518,17
30,16.048
30.017,16
30.305,15
30.546,14
30.739,13
30.886,12
30.985,11
31,10.733
