x1,y1
21,2.8062
20,2.4751
19,2.0544
18.827,2
18,1.8984
17,1.8323
16,1.818
15,1.8576
14,1.9523
13.699,2
13,2.2458
12,2.6043
11,2.9286
10.816,3
10,3.6139
9.4993,4
9,4.5345
8.6384,5
8.0174,6
8,6.0479
7.7808,7
7.7403,8
8,9
9,9
10,9
11,9
12,9
13,9
14,9
14,9
14.846,10
14.854,11
14.854,12
14,13
14,13
13,13
12,13
11,13
10,13
9.3123,14
9.4627,15
9.9044,16
10,16.129
10.795,17
11,17.137
12,17.673
12.836,18
13,18.036
14,18.144
15,18.135
16,18.017
16.076,18
17,17.689
18,17.291
18.675,17
19,16.803
20,16.146
20.14,16
20.985,15
21,14.984
