x1,y1
21,3.4832
20.36,3
20,2.7528
19,2.2155
18.562,2
18,1.8674
17,1.6803
16,1.5415
15,1.4655
14,1.4653
13,1.5422
12,1.6883
11,1.8884
10.558,2
10,2.3558
9.0127,3
9,3.0117
8.0498,4
8,4.0686
7.4418,5
7,5.9212
6.972,6
6.7689,7
6.7161,8
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.824,10
16.816,11
16.807,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6,13
5.896,14
5.9168,15
6,15.559
6.1086,16
6.5403,17
7,17.938
7.0393,18
7.8744,19
8,19.111
9,19.998
9.0027,20
10,20.32
11,20.627
12,20.898
12.508,21
