x1,y1
21,5.8359
20.133,5
20,4.8846
19,4.3378
18.371,4
18,3.8579
17,3.5355
16,3.2661
15,3.1085
14,3.1128
13,3.2688
12,3.57
11,3.9611
10.924,4
10,4.7544
9.736,5
9,5.9932
8.9963,6
8.6922,7
8.6064,8
9,9
10,9
11,9
12,9
13,9
14,9
14,9
14.955,10
14.955,11
14.955,12
14,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7.479,14
7.5216,15
7.7934,16
8,16.504
8.3014,17
9,17.923
9.0707,18
10,18.716
10.387,19
11,19.222
12,19.573
13,19.936
13.231,20
14,20.085
15,20.143
16,20.149
17,20.105
18,20.007
18.042,20
19,19.667
20,19.308
20.836,19
21,18.903
