x1,y1
21,4.9926
20,4.2314
19.623,4
19,3.7326
18,3.3244
17.167,3
17,2.9701
16,2.8599
15,2.8099
14,2.8301
13,2.9153
12.419,3
12,3.155
11,3.6451
10.321,4
10,4.2711
9.2375,5
9,5.3311
8.6509,6
8.2667,7
8.1888,8
9,9
10,9
11,9
12,9
13,9
14,9
14,9
14.853,10
14.852,11
14.844,12
14,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13.33
7.8647,14
7.9038,15
8,15.406
8.2415,16
8.8298,17
9,17.21
9.7828,18
10,18.157
11,18.78
11.402,19
12,19.141
13,19.33
14,19.475
15,19.545
16,19.523
17,19.418
18,19.252
19,19.049
19.174,19
20,18.548
20.921,18
21,17.945
