x1,y1
19.719,21
20,20.349
20.114,20
20.388,19
20.6,18
20.773,17
20.893,16
20.94,15
20.906,14
20.784,13
20.574,12
20.283,11
20,10.226
19.848,10
19.082,9
19,8.9063
18.05,8
18,7.9589
17,7.3383
16.259,7
16,6.9044
15,6.7101
14,6.7329
13,6.8828
12.706,7
12,7.6465
11.813,8
12,9
13,9
14,9
15,9
15,9
15.677,10
15.651,11
15.639,12
15,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6.6626,14
6.7053,15
6.927,16
7,16.19
7.387,17
7.9494,18
8,18.069
8.7816,19
9,19.207
9.9373,20
10,20.05
11,20.683
11.481,21
