x1,y1
10.356,1
10,1.1554
9,1.582
8,1.9824
7.9691,2
7,2.9592
6.9622,3
6.2964,4
6,4.4979
5.8035,5
5.4769,6
5.253,7
5.2251,8
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.872,10
16.872,11
16.872,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6.9866,14
7,14.186
7.0825,15
7.3734,16
7.8227,17
8,17.282
8.5433,18
9,18.461
9.6053,19
10,19.252
11,19.836
11.343,20
12,20.13
13,20.268
14,20.336
15,20.326
16,20.245
17,20.102
17.497,20
18,19.792
19,19.325
19.683,19
20,18.807
20.965,18
21,17.973
