x1,y1
19.216,21
19.691,20
20,19.346
20.11,19
20.341,18
20.533,17
20.671,16
20.737,15
20.721,14
20.617,13
20.429,12
20.154,11
20,10.6
19.623,10
19,9.1389
18.877,9
18,8.1072
17.841,8
17,7.5332
16,7.1165
15.53,7
15,6.9113
14,6.9392
13.745,7
13,7.4661
12.464,8
13,9
14,9
15,9
16,9
16,9
16.683,10
16.643,11
16.612,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6,13
5,13
4.8743,14
4.9065,15
5,15.524
5.0917,16
5.4217,17
5.8487,18
6,18.271
6.4603,19
7,19.714
7.2448,20
8,20.857
8.124,21
