x1,y1
21,1.8751
20,1.6429
19,1.4142
18,1.2387
17,1.1135
16,1.0558
15,1.0746
14,1.1698
13,1.3231
12,1.521
11,1.7548
10.124,2
10,2.0832
9,2.7953
8.6925,3
8,3.7121
7.7643,4
7.0565,5
7,5.112
6.708,6
6.4706,7
6.4468,8
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
15,9
15.829,10
15.842,11
15.844,12
15,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8.6464,14
8.7598,15
9,15.724
9.1156,16
9.817,17
10,17.175
11,17.998
11.003,18
12,18.417
13,18.72
14,18.864
15,18.841
16,18.664
17,18.382
18,18.04
18.092,18
19,17.493
19.884,17
20,16.918
20.834,16
21,15.836
