x1,y1
11.98,1
11,1.2877
10,1.6156
9,1.9471
8.8737,2
8,2.7892
7.7721,3
7,3.9288
6.9531,4
6.4475,5
6.0211,6
6,6.0913
5.8648,7
5.8347,8
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.872,10
16.872,11
16.872,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6.4005,14
6.4637,15
6.6933,16
7,16.879
7.0539,17
7.703,18
8,18.372
8.5823,19
9,19.336
9.8462,20
10,20.052
11,20.325
12,20.564
13,20.741
14,20.833
15,20.829
16,20.737
17,20.576
18,20.366
19,20.124
19.397,20
20,19.636
20.886,19
21,18.915
