x1,y1
21,5.3202
20.646,5
20,4.4068
19.367,4
19,3.814
18,3.3646
17.136,3
17,2.966
16,2.7893
15,2.6776
14,2.6701
13,2.7695
12,2.959
11.848,3
11,3.4326
10.038,4
10,4.0337
9.0669,5
9,5.1024
8.5249,6
8.1677,7
8.0583,8
9,9
10,9
11,9
12,9
13,9
14,9
15,9
15,9
15.846,10
15.844,11
15.831,12
15,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6.559,14
6.5837,15
6.8054,16
7,16.586
7.2163,17
7.8756,18
8,18.151
8.8376,19
9,19.106
10,19.711
10.459,20
11,20.149
12,20.35
13,20.51
14,20.622
15,20.676
16,20.665
17,20.591
18,20.459
19,20.284
20,20.058
20.166,20
21,19.508
